"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","Washington State Referendum Measure No. 90","Approved"," ","1768","30.9361","State Executive"
"Adams","Washington State Referendum Measure No. 90","Rejected"," ","3947","69.0639","State Executive"
"Adams","Washington State Advisory Vote No. 32","Repealed"," ","4626","82.681","State Executive"
"Adams","Washington State Advisory Vote No. 32","Maintained"," ","969","17.319","State Executive"
"Adams","Washington State Advisory Vote No. 33","Repealed"," ","4457","79.9319","State Executive"
"Adams","Washington State Advisory Vote No. 33","Maintained"," ","1119","20.0681","State Executive"
"Adams","Washington State Advisory Vote No. 34","Repealed"," ","4550","82.0855","State Executive"
"Adams","Washington State Advisory Vote No. 34","Maintained"," ","993","17.9145","State Executive"
"Adams","Washington State Advisory Vote No. 35","Repealed"," ","4025","72.8771","State Executive"
"Adams","Washington State Advisory Vote No. 35","Maintained"," ","1498","27.1229","State Executive"
"Adams","Washington State Engrossed Senate Joint Resolution No. 8212","Approved"," ","1685","30.344","State Executive"
"Adams","Washington State Engrossed Senate Joint Resolution No. 8212","Rejected"," ","3868","69.656","State Executive"
"Adams"," President/Vice President","Joseph R. Biden / Kamala D. Harris","(Democratic Party Nominees)","1814","30.9451","Federal"
"Adams"," President/Vice President","Donald J. Trump / Michael R. Pence","(Republican Party Nominees)","3907","66.6496","Federal"
"Adams"," President/Vice President","Jo Jorgensen / Jeremy &quot;Spike&quot; Cohen","(Libertarian Party Nominees)","82","1.3988","Federal"
"Adams"," President/Vice President","Howie Hawkins / Angela Walker","(Green Party Nominees)","18","0.3071","Federal"
"Adams"," President/Vice President","Gloria La Riva / Sunil Freeman","(Socialism and Liberation Party Nominees)","10","0.1706","Federal"
"Adams"," President/Vice President","Alyson Kennedy / Malcolm M. Jarrett","(Socialist Workers Party Nominees)","5","0.0853","Federal"
"Adams"," President/Vice President","WRITE-IN"," ","26","0.4435","Federal"
"Adams","Congressional District 4 U.S. Representative","Dan Newhouse","(Prefers Republican Party)","4265","74.0323","Congressional"
"Adams","Congressional District 4 U.S. Representative","Douglas E. McKinley","(Prefers Democratic Party)","1488","25.8288","Congressional"
"Adams","Congressional District 4 U.S. Representative","WRITE-IN"," ","8","0.1389","Congressional"
"Adams","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","1655","28.339","State Executive"
"Adams","Washington State Governor","Loren Culp","(Prefers Republican Party)","4170","71.4041","State Executive"
"Adams","Washington State Governor","WRITE-IN"," ","15","0.2568","State Executive"
"Adams","Washington State Lt. Governor","Denny Heck","(Prefers Democratic Party)","1745","35.4675","State Executive"
"Adams","Washington State Lt. Governor","Marko Liias","(Prefers Democratic Party)","1263","25.6707","State Executive"
"Adams","Washington State Lt. Governor","WRITE-IN"," ","1912","38.8618","State Executive"
"Adams","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","4188","73.7324","State Executive"
"Adams","Washington State Secretary of State","Gael Tarleton","(Prefers Democratic Party)","1473","25.9331","State Executive"
"Adams","Washington State Secretary of State","WRITE-IN"," ","19","0.3345","State Executive"
"Adams","Washington State State Treasurer","Mike Pellicciotti","(Prefers Democratic Party)","1601","28.5129","State Executive"
"Adams","Washington State State Treasurer","Duane A. Davidson","(Prefers Republican Party)","4007","71.3624","State Executive"
"Adams","Washington State State Treasurer","WRITE-IN"," ","7","0.1247","State Executive"
"Adams","Washington State State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)","1828","32.4056","State Executive"
"Adams","Washington State State Auditor","Chris Leyba","(Prefers Republican Party)","3804","67.4349","State Executive"
"Adams","Washington State State Auditor","WRITE-IN"," ","9","0.1595","State Executive"
"Adams","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","1772","31.3351","State Executive"
"Adams","Washington State Attorney General","Matt Larkin","(Prefers Republican Party)","3876","68.5411","State Executive"
"Adams","Washington State Attorney General","WRITE-IN"," ","7","0.1238","State Executive"
"Adams","Washington State Commissioner of Public Lands","Hilary Franz","(Prefers Democratic Party)","1791","31.8061","State Executive"
"Adams","Washington State Commissioner of Public Lands","Sue Kuehl Pederson","(Prefers Republican Party)","3829","67.9986","State Executive"
"Adams","Washington State Commissioner of Public Lands","WRITE-IN"," ","11","0.1953","State Executive"
"Adams","Washington State Superintendent of Public Instruction","Chris Reykdal"," ","2205","42.3062","State Executive"
"Adams","Washington State Superintendent of Public Instruction","Maia Espinoza"," ","2976","57.099","State Executive"
"Adams","Washington State Superintendent of Public Instruction","WRITE-IN"," ","31","0.5948","State Executive"
"Adams","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","2187","39.7492","State Executive"
"Adams","Washington State Insurance Commissioner","Chirayu Avinash Patel","(Prefers Republican Party)","3293","59.851","State Executive"
"Adams","Washington State Insurance Commissioner","WRITE-IN"," ","22","0.3999","State Executive"
"Adams","Legislative District 9 State Senator","Mark G. Schoesler","(Prefers GOP Party)","4124","73.7482","Legislative"
"Adams","Legislative District 9 State Senator","Jenn Goulet","(Prefers Democratic Party)","1428","25.5365","Legislative"
"Adams","Legislative District 9 State Senator","WRITE-IN"," ","40","0.7153","Legislative"
"Adams","Legislative District 9 State Representative Pos. 1","Mary Dye","(Prefers Republican Party)","4424","79.683","Legislative"
"Adams","Legislative District 9 State Representative Pos. 1","Brett Borden","(Prefers Libertarian Party)","1102","19.8487","Legislative"
"Adams","Legislative District 9 State Representative Pos. 1","WRITE-IN"," ","26","0.4683","Legislative"
"Adams","Legislative District 9 State Representative Pos. 2","Joe Schmick","(Prefers GOP Party)","4888","97.2736","Legislative"
"Adams","Legislative District 9 State Representative Pos. 2","WRITE-IN"," ","137","2.7264","Legislative"
"Adams"," County Commissioner District 1","Dan Blankenship","(Prefers Republican Party)","3413","63.3092","County"
"Adams"," County Commissioner District 1","John N Marshall","(Prefers Republican Party)","1905","35.3367","County"
"Adams"," County Commissioner District 1","WRITE-IN"," ","73","1.3541","County"
"Adams"," County Commissioner District 2","Jay R Weise","(Prefers Republican Party)","3921","71.9846","County"
"Adams"," County Commissioner District 2","Ken Johnson","(Prefers Republican Party)","1455","26.712","County"
"Adams"," County Commissioner District 2","WRITE-IN"," ","71","1.3035","County"
"Adams","Supreme Court Justice Position #03","Dave Larson"," ","2931","57.7651","Judicial"
"Adams","Supreme Court Justice Position #03","Raquel Montoya-Lewis"," ","2120","41.7816","Judicial"
"Adams","Supreme Court Justice Position #03","WRITE-IN"," ","23","0.4533","Judicial"
"Adams","Supreme Court Justice Position #04","Charles W. Johnson"," ","4350","98.2385","Judicial"
"Adams","Supreme Court Justice Position #04","WRITE-IN"," ","78","1.7615","Judicial"
"Adams","Supreme Court Justice Position #06","Richard S. Serns"," ","2611","53.2531","Judicial"
"Adams","Supreme Court Justice Position #06","G. Helen Whitener"," ","2253","45.9515","Judicial"
"Adams","Supreme Court Justice Position #06","WRITE-IN"," ","39","0.7954","Judicial"
"Adams","Supreme Court Justice Position #07","Debra L. Stephens"," ","4372","97.8295","Judicial"
"Adams","Supreme Court Justice Position #07","WRITE-IN"," ","97","2.1705","Judicial"
"Adams","Adams Superior Court  Judge Position 1","Steve Dixon"," ","4501","97.9756","Judicial"
"Adams","Adams Superior Court  Judge Position 1","WRITE-IN"," ","93","2.0244","Judicial"
"Adams","LACROSSE SCHOOL DISTRICT - 126 Replacement Capital Levy","Levy Yes"," ","13","86.6667","School"
"Adams","LACROSSE SCHOOL DISTRICT - 126 Replacement Capital Levy","Levy No"," ","2","13.3333","School"
"Adams","Warden School Dist #146 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATION LEVY","LEVY...YES"," ","12","57.1429","School"
"Adams","Warden School Dist #146 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATION LEVY","LEVY...NO"," ","9","42.8571","School"
"Adams","FIRE DISTRICT 4 Maintenance and Operation Levy","Approved"," ","9","100","Fire"
"Adams","FIRE DISTRICT 4 Maintenance and Operation Levy","Rejected"," ","0","0","Fire"
"Adams","RITZVILLE PARK AND RECREATION 4 Maintenance and Operation Levy","Approved"," ","760","56.2963","Park and Recreation"
"Adams","RITZVILLE PARK AND RECREATION 4 Maintenance and Operation Levy","Rejected"," ","590","43.7037","Park and Recreation"
"Adams","CEMETERY DISTRICT 2 Maintenance and Operation Levy","Approved"," ","1810","53.2196","Cemetery"
"Adams","CEMETERY DISTRICT 2 Maintenance and Operation Levy","Rejected"," ","1591","46.7804","Cemetery"
"Asotin","Washington State Referendum Measure No. 90","Approved"," ","5559","48.2008","State Executive"
"Asotin","Washington State Referendum Measure No. 90","Rejected"," ","5974","51.7992","State Executive"
"Asotin","Washington State Advisory Vote No. 32","Repealed"," ","8640","76.9848","State Executive"
"Asotin","Washington State Advisory Vote No. 32","Maintained"," ","2583","23.0152","State Executive"
"Asotin","Washington State Advisory Vote No. 33","Repealed"," ","8402","75.4829","State Executive"
"Asotin","Washington State Advisory Vote No. 33","Maintained"," ","2729","24.5171","State Executive"
"Asotin","Washington State Advisory Vote No. 34","Repealed"," ","8517","77.371","State Executive"
"Asotin","Washington State Advisory Vote No. 34","Maintained"," ","2491","22.629","State Executive"
"Asotin","Washington State Advisory Vote No. 35","Repealed"," ","7393","66.7359","State Executive"
"Asotin","Washington State Advisory Vote No. 35","Maintained"," ","3685","33.2641","State Executive"
"Asotin","Washington State Engrossed Senate Joint Resolution No. 8212","Approved"," ","4075","36.593","State Executive"
"Asotin","Washington State Engrossed Senate Joint Resolution No. 8212","Rejected"," ","7061","63.407","State Executive"
"Asotin"," President/Vice President","Joseph R. Biden / Kamala D. Harris","(Democratic Party Nominees)","4250","35.5619","Federal"
"Asotin"," President/Vice President","Donald J. Trump / Michael R. Pence","(Republican Party Nominees)","7319","61.2417","Federal"
"Asotin"," President/Vice President","Jo Jorgensen / Jeremy &quot;Spike&quot; Cohen","(Libertarian Party Nominees)","260","2.1756","Federal"
"Asotin"," President/Vice President","Howie Hawkins / Angela Walker","(Green Party Nominees)","36","0.3012","Federal"
"Asotin"," President/Vice President","Gloria La Riva / Sunil Freeman","(Socialism and Liberation Party Nominees)","9","0.0753","Federal"
"Asotin"," President/Vice President","Alyson Kennedy / Malcolm M. Jarrett","(Socialist Workers Party Nominees)","6","0.0502","Federal"
"Asotin"," President/Vice President","WRITE-IN"," ","71","0.5941","Federal"
"Asotin","Congressional District 5 U.S. Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","8195","69.638","Congressional"
"Asotin","Congressional District 5 U.S. Representative","Dave Wilson","(Prefers Democratic Party)","3550","30.1666","Congressional"
"Asotin","Congressional District 5 U.S. Representative","WRITE-IN"," ","23","0.1954","Congressional"
"Asotin","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","4212","35.4874","State Executive"
"Asotin","Washington State Governor","Loren Culp","(Prefers Republican Party)","7627","64.2598","State Executive"
"Asotin","Washington State Governor","WRITE-IN"," ","30","0.2528","State Executive"
"Asotin","Washington State Lt. Governor","Denny Heck","(Prefers Democratic Party)","4787","49.8698","State Executive"
"Asotin","Washington State Lt. Governor","Marko Liias","(Prefers Democratic Party)","3024","31.5033","State Executive"
"Asotin","Washington State Lt. Governor","WRITE-IN"," ","1788","18.6269","State Executive"
"Asotin","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","7935","68.7013","State Executive"
"Asotin","Washington State Secretary of State","Gael Tarleton","(Prefers Democratic Party)","3587","31.0563","State Executive"
"Asotin","Washington State Secretary of State","WRITE-IN"," ","28","0.2424","State Executive"
"Asotin","Washington State State Treasurer","Mike Pellicciotti","(Prefers Democratic Party)","3956","34.406","State Executive"
"Asotin","Washington State State Treasurer","Duane A. Davidson","(Prefers Republican Party)","7517","65.3766","State Executive"
"Asotin","Washington State State Treasurer","WRITE-IN"," ","25","0.2174","State Executive"
"Asotin","Washington State State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)","4305","37.7665","State Executive"
"Asotin","Washington State State Auditor","Chris Leyba","(Prefers Republican Party)","7070","62.023","State Executive"
"Asotin","Washington State State Auditor","WRITE-IN"," ","24","0.2105","State Executive"
"Asotin","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","4182","36.5176","State Executive"
"Asotin","Washington State Attorney General","Matt Larkin","(Prefers Republican Party)","7255","63.3514","State Executive"
"Asotin","Washington State Attorney General","WRITE-IN"," ","15","0.131","State Executive"
"Asotin","Washington State Commissioner of Public Lands","Hilary Franz","(Prefers Democratic Party)","4013","35.3226","State Executive"
"Asotin","Washington State Commissioner of Public Lands","Sue Kuehl Pederson","(Prefers Republican Party)","7326","64.4838","State Executive"
"Asotin","Washington State Commissioner of Public Lands","WRITE-IN"," ","22","0.1936","State Executive"
"Asotin","Washington State Superintendent of Public Instruction","Chris Reykdal"," ","5207","51.708","State Executive"
