user_loc,fr_loc,sci
53033,53001,21777
53033,53003,19267
53033,53005,35374
53033,53007,73098
53033,53009,45289
53033,53011,28547
53033,53013,24367
53033,53015,23200
53033,53017,45057
53033,53019,34782
53033,53021,29288
53033,53023,22312
53033,53025,36415
53033,53027,45409
53033,53029,78116
53033,53031,73048
53033,53035,91136
53033,53037,145469
53033,53039,21786
53033,53041,40069
53033,53043,35542
53033,53045,57180
53033,53047,42821
53033,53049,34477
53033,53051,23534
53033,53053,149752
53033,53055,97292
53033,53057,61157
53033,53059,24822
53033,53061,163043
53033,53063,43638
53033,53065,27263
53033,53067,64905
53033,53069,26963
53033,53071,41053
53033,53073,82700
53033,53075,114558
53033,53077,40940
