County,Name,RorD,Votes,PercentageBlue,Percentage,FIPS
Adams,Donald J. Trump / Michael R. Pence,R,3881,33.2014,66.7986,53001
Asotin,Donald J. Trump / Michael R. Pence,R,7259,38.8097,61.1903,53003
Benton,Donald J. Trump / Michael R. Pence,R,60301,41.4098,58.5902,53005
Chelan,Donald J. Trump / Michael R. Pence,R,22476,47.3173,52.6827,53007
Clallam,Joseph R. Biden / Kamala D. Harris,D,24687,50.185,50.185,53009
Clark,Joseph R. Biden / Kamala D. Harris,D,140095,50.9573,50.9573,53011
Columbia,Donald J. Trump / Michael R. Pence,R,1754,29.6994,70.3006,53013
Cowlitz,Donald J. Trump / Michael R. Pence,R,34408,42.897,57.103,53015
Douglas,Donald J. Trump / Michael R. Pence,R,12908,39.2136,60.7864,53017
Ferry,Donald J. Trump / Michael R. Pence,R,2735,36.5429,63.4571,53019
Franklin,Donald J. Trump / Michael R. Pence,R,17849,44.2376,55.7624,53021
Garfield,Donald J. Trump / Michael R. Pence,R,1062,28.1461,71.8539,53023
Grant,Donald J. Trump / Michael R. Pence,R,24703,34.2025,65.7975,53025
Grays Harbor,Donald J. Trump / Michael R. Pence,R,19590,48.3726,51.6274,53027
Island,Joseph R. Biden / Kamala D. Harris,D,29171,54.191,54.191,53029
Jefferson,Joseph R. Biden / Kamala D. Harris,D,17190,69.4069,69.4069,53031
King,Joseph R. Biden / Kamala D. Harris,D,906507,74.9697,74.9697,53033
Kitsap,Joseph R. Biden / Kamala D. Harris,D,90224,56.8946,56.8946,53035
Kittitas,Donald J. Trump / Michael R. Pence,R,14042,46.226,53.774,53037
Klickitat,Donald J. Trump / Michael R. Pence,R,7223,46.6228,53.3772,53039
Lewis,Donald J. Trump / Michael R. Pence,R,29318,35.0941,64.9059,53041
Lincoln,Donald J. Trump / Michael R. Pence,R,5134,26.8035,73.1965,53043
Mason,Donald J. Trump / Michael R. Pence,R,18676,49.8671,50.1329,53045
Okanogan,Donald J. Trump / Michael R. Pence,R,11830,44.3556,55.6444,53047
Pacific,Donald J. Trump / Michael R. Pence,R,6930,50.5706,49.4294,53049
Pend Oreille,Donald J. Trump / Michael R. Pence,R,5655,33.1718,66.8282,53051
Pierce,Joseph R. Biden / Kamala D. Harris,D,249447,53.7629,53.7629,53053
San Juan,Joseph R. Biden / Kamala D. Harris,D,9606,73.9151,73.9151,53055
Skagit,Joseph R. Biden / Kamala D. Harris,D,38033,52.0857,52.0857,53057
Skamania,Donald J. Trump / Michael R. Pence,R,3783,46.7932,53.2068,53059
Snohomish,Joseph R. Biden / Kamala D. Harris,D,256600,58.5109,58.5109,53061
Spokane,Donald J. Trump / Michael R. Pence,R,148244,49.7159,50.2841,53063
Stevens,Donald J. Trump / Michael R. Pence,R,19592,30.2279,69.7721,53065
Thurston,Joseph R. Biden / Kamala D. Harris,D,96530,57.4672,57.4672,53067
Wahkiakum,Donald J. Trump / Michael R. Pence,R,1711,41.6638,58.3362,53069
Walla Walla,Donald J. Trump / Michael R. Pence,R,16344,47.533,52.467,53071
Whatcom,Joseph R. Biden / Kamala D. Harris,D,83557,60.364,60.364,53073
Whitman,Joseph R. Biden / Kamala D. Harris,D,11143,52.9082,52.9082,53075
Yakima,Donald J. Trump / Michael R. Pence,R,50531,47.4457,52.5543,53077
